pincode,latitude,longitude,address
721435,21.9432535,87.3711477,"West Bengal 721435, India"
721436,21.8485604,87.4108352,"West Bengal 721436, India"
721437,22.1939241,87.4009165,"West Bengal 721437, India"
721438,21.9640884,87.56430399999999,"West Bengal 721438, India"
754207,20.4922,86.2056843,"Odisha 754207, India"
721440,21.9764391,87.5939487,"West Bengal 721440, India"
721441,21.6600087,87.5494745,"West Bengal 721441, India"
721442,21.8188941,87.8353278,"West Bengal 721442, India"
721443,21.9206669,87.45048880000002,"West Bengal 721443, India"
721444,21.9008673,87.7271123,"West Bengal 721444, India"
754213,20.4029395,86.4895463,"Odisha 754213, India"
721446,21.7067902,87.4901086,"721446, India"
721447,21.8018163,87.4703029,"West Bengal 721447, India"
721448,21.7674005,87.55936129999999,"West Bengal 721448, India"
361001,22.4665179,70.0771092,"Jamnagar, Gujarat 361001, India"
361002,22.4896789,70.0354274,"Jamnagar, Gujarat 361002, India"
361003,22.4609265,69.96694459999999,"Gujarat 361003, India"
361004,22.4456023,70.0473367,"Jamnagar, Gujarat 361004, India"
262701,28.0073044,80.6992633,"Uttar Pradesh 262701, India"
262702,27.9221252,80.72698539999999,"Uttar Pradesh 262702, India"
361007,22.4802069,70.094972,"Jamnagar, Gujarat 361007, India"
361008,22.5218259,70.08604059999999,"Gujarat 361008, India"
361009,24.4990746,118.1317625,"Huli, Xiamen, Fujian, China, 361009"
361010,22.3684971,69.6929488,"Gujarat 361010, India"
361011,22.6374283,70.2765481,"Gujarat 361011, India"
361012,24.4901034,118.1039629,"Siming, Xiamen, Fujian, China, 361012"
361013,22.3445877,70.2170209,"Gujarat 361013, India"
721463,21.6328692,87.5272212,"West Bengal 721463, India"
787001,27.2367581,94.1155596,"Assam 787001, India"
721467,22.1125151,87.5296943,"West Bengal 721467, India"
604505,12.5641366,79.5041322,"Tamil Nadu 604505, India"
754239,20.6728375,86.59558129999999,"Odisha 754239, India"
754240,20.6401412,86.4490926,"Odisha 754240, India"
262721,27.8304622,80.8322428,"Uttar Pradesh 262721, India"
262722,27.8478824,81.0975397,"Uttar Pradesh 262722, India"
262723,27.9873127,81.0975397,"Uttar Pradesh 262723, India"
262724,28.1237526,81.0533854,"Uttar Pradesh 262724, India"
262725,27.8245282,80.7436141,"Uttar Pradesh 262725, India"
262726,28.0221647,80.92077370000001,"Uttar Pradesh 262726, India"
262727,27.8094137,80.5216184,"Uttar Pradesh 262727, India"
262728,27.8857227,80.9650023,"Uttar Pradesh 262728, India"
754250,20.5432568,86.3680869,"Odisha 754250, India"
754253,20.3837606,86.4237923,"Odisha 754253, India"
787023,27.1062582,93.9572374,"787023, India"
787026,27.4562774,94.4182089,"Assam 787026, India"
787031,27.2339895,94.0082563,"787031, India"
787032,27.370034,94.17185420000001,"787032, India"
787034,27.471528,94.30515419999999,"Assam 787034, India"
787035,27.5526105,94.33596349999999,"787035, India"
721501,22.7047845,86.681253,"West Bengal 721501, India"
721503,22.3754142,86.8822445,"721503, India"
721504,22.567464,86.96240859999999,"West Bengal 721504, India"
721505,22.5183086,86.8822445,"721505, India"
721506,22.1379856,86.9223432,"721506, India"
721507,22.3776744,87.0024407,"West Bengal 721507, India"
122101,28.3636532,77.0219019,"Haryana 122101, India"
721513,22.3798404,87.12233619999999,"West Bengal 721513, India"
721514,22.4612225,87.01244349999999,"West Bengal 721514, India"
721515,22.6127818,86.8421125,"West Bengal 721515, India"
721516,22.6187329,87.1622344,"West Bengal 721516, India"
721517,22.2809049,86.9223432,"721517, India"
787054,27.0449111,94.0491077,"Assam 787054, India"
787055,27.220403,94.4593791,"Assam 787055, India"
787056,1.3866099,103.841258,Singapore 787056
230001,25.8969374,81.9916586,"Uttar Pradesh 230001, India"
230002,25.8692036,81.91528439999999,"Uttar Pradesh 230002, India"
787059,27.608731,94.7691586,"787059, India"
754292,20.6354314,86.2260131,"Odisha 754292, India"
754293,20.4266521,86.20060079999999,"Odisha 754293, India"
754294,20.1889236,86.3503495,"Odisha 754294, India"
754296,20.6863923,86.1090119,"Odisha 754296, India"
251327,29.6553264,77.973865,"251327, India"
226303,26.6353052,81.0975397,"Uttar Pradesh 226303, India"
415413,17.0920008,74.3411515,"Maharashtra 415413, India"
401403,19.8028306,72.92243289999999,"Maharashtra 401403, India"
761211,18.8468149,84.15406589999999,"Odisha 761211, India"
262801,28.1713071,80.38813329999999,"Uttar Pradesh 262801, India"
262802,28.0384381,80.47714719999999,"Uttar Pradesh 262802, India"
262803,28.2639749,80.38813329999999,"Uttar Pradesh 262803, India"
262804,27.9763773,80.254435,"Uttar Pradesh 262804, India"
262805,27.9487166,80.5216184,"Uttar Pradesh 262805, India"
361110,22.4427425,70.1813018,"Gujarat 361110, India"
